name,Time,Duration,Obj,Obj-GNN,Obj-MO,#Q,Size-A,Den-A,Cnt-A,Lim,Size-X-x,Size-X-y,Size-T-x,Size-T-y,R
70254,28-07-2022 18-00-04,0.6665332317352295,6526.128735267167,[228.35750229],[138.43622275],400,20,0.145,58,40,20,5,5,5,1
70254,28-07-2022 18-52-08,0.6969358921051025,6526.128735267167,[228.35750229],[138.43622275],400,20,0.145,58,40,20,5,5,5,1
70254,28-07-2022 18-52-34,0.6743052005767822,6526.128735267167,[228.35750229],[138.43622275],400,20,0.145,58,40,20,5,5,5,1
70254,28-07-2022 18-54-05,0.6630613803863525,6526.128735267167,[228.35750229],[138.43622275],400,20,0.145,58,40,20,5,5,5,1
70254,28-07-2022 18-54-17,0.7803471088409424,6526.128735267167,[228.35750229],[138.43622275],400,20,0.145,58,40,20,5,5,5,1
70254,28-07-2022 18-56-28,0.6705899238586426,6526.128735267167,[228.35750229],[138.43622275],400,20,0.145,58,40,20,5,5,5,1
70254,29-07-2022 11-26-13,0.6880970001220703,6526.128735267167,[228.35750229],[138.43622275],400,20,0.145,58,40,20,5,5,5,1
70254,29-07-2022 11-26-52,0.7014892101287842,6526.128735267167,[228.35750229],[138.43622275],400,20,0.145,58,40,20,5,5,5,1
70254,29-07-2022 11-31-35,0.7156929969787598,6526.128735267167,[228.35750229],[138.43622275],400,20,0.145,58,40,20,5,5,5,1
70254,29-07-2022 11-32-42,0.8161132335662842,6526.128735267167,[228.35750229],[138.43622275],400,20,0.145,58,40,20,5,5,5,1
70254,29-07-2022 11-35-20,0.9088759422302246,6526.128735267167,[228.35750229],[138.43622275],400,20,0.145,58,40,20,5,5,5,1
70254,29-07-2022 11-36-11,1.0454051494598389,6526.128735267167,[228.35750229],[138.43622275],400,20,0.145,58,40,20,5,5,5,1
70254,29-07-2022 11-39-51,0.7829058170318604,6526.128735267167,[228.35750229],[138.43622275],400,20,0.145,58,40,20,5,5,5,1
70254,29-07-2022 11-51-55,0.9628610610961914,6526.128735267167,[228.35750229],[138.43622275],400,20,0.145,58,40,20,5,5,5,1
70254,29-07-2022 11-53-08,0.7713181972503662,6526.128735267167,[228.35750229],[138.43622275],400,20,0.145,58,40,20,5,5,5,1
70254,29-07-2022 11-55-49,0.8779311180114746,6526.128735267167,[228.35750229],[138.43622275],400,20,0.145,58,40,20,5,5,5,1
70254,29-07-2022 12-06-23,0.967703104019165,6526.128735267167,[228.35750229],[138.43622275],400,20,0.145,58,40,20,5,5,5,1
70254,29-07-2022 12-07-05,0.7961709499359131,6526.128735267167,[228.35750229],[138.43622275],400,20,0.145,58,40,20,5,5,5,1
70254,29-07-2022 12-15-56,0.8495998382568359,6526.128735267167,[228.35750229],[138.43622275],400,20,0.145,58,40,20,5,5,5,1
70254,29-07-2022 12-19-47,0.7875649929046631,6526.128735267167,[228.35750229],[138.43622275],400,20,0.145,58,40,20,5,5,5,1
70254,29-07-2022 12-28-43,0.809661865234375,6526.128735267167,[228.35750229],[138.43622275],400,20,0.145,58,40,20,5,5,5,1
70254,29-07-2022 12-29-39,0.9931778907775879,6526.128735267167,[228.35750229],[138.43622275],400,20,0.145,58,40,20,5,5,5,1
70254,29-07-2022 12-38-06,0.8240699768066406,6526.128735267167,[228.35750229],[138.43622275],400,20,0.145,58,40,20,5,5,5,1
70254,29-07-2022 12-39-50,0.789736270904541,6526.128735267167,[228.35750229],[138.43622275],400,20,0.145,58,40,20,5,5,5,1
70254,29-07-2022 12-41-18,0.6803219318389893,6526.128735267167,[228.35750229],[138.43622275],400,20,0.145,58,40,20,5,5,5,1
70254,29-07-2022 12-41-25,0.8049869537353516,6526.128735267167,[228.35750229],[138.43622275],400,20,0.145,58,40,20,5,5,5,1
70254,29-07-2022 12-44-03,0.7168300151824951,6526.128735267167,[228.35750229],[138.43622275],400,20,0.145,58,40,20,5,5,5,1
70254,29-07-2022 12-44-57,0.7128000259399414,6526.128735267167,[228.35750229],[138.43622275],400,20,0.145,58,40,20,5,5,5,1
70254,29-07-2022 12-45-23,0.6978847980499268,6526.128735267167,[228.35750229],[138.43622275],400,20,0.145,58,40,20,5,5,5,1
70254,29-07-2022 12-52-19,0.0037429332733154297,8332.279427601412,[228.35750229],[176.67286903],400,20,0.145,58,40,20,5,5,5,1
70254,29-07-2022 16-24-00,0.7162458896636963,6526.128735267167,[228.35750229],[138.43622275],400,20,0.145,58,40,20,5,5,5,1
900003,02-08-2022 20-53-20,0.13606810569763184,0.02746774654800234,[0.16573396],[0.16573396],78961,281,0.003989311178936437,315,170,281,12,12,1,0
